@relation GestureTraining

@attribute MFCC_0 numeric
@attribute MFCC_1 numeric
@attribute MFCC_2 numeric
@attribute MFCC_3 numeric
@attribute MFCC_4 numeric
@attribute MFCC_5 numeric
@attribute MFCC_6 numeric
@attribute MFCC_7 numeric
@attribute MFCC_8 numeric
@attribute MFCC_9 numeric
@attribute MFCC_10 numeric
@attribute MFCC_11 numeric
@attribute MFCC_12 numeric
@attribute MFCC_13 numeric
@attribute MFCC_14 numeric
@attribute MFCC_15 numeric
@attribute MFCC_16 numeric
@attribute MFCC_17 numeric
@attribute MFCC_18 numeric
@attribute MFCC_19 numeric
@attribute MFCC_20 numeric
@attribute MFCC_21 numeric
@attribute MFCC_22 numeric
@attribute MFCC_23 numeric
@attribute MFCC_24 numeric
@attribute MFCC_25 numeric
@attribute MFCC_26 numeric
@attribute MFCC_27 numeric
@attribute MFCC_28 numeric
@attribute MFCC_29 numeric
@attribute MFCC_30 numeric
@attribute MFCC_31 numeric
@attribute MFCC_32 numeric
@attribute MFCC_33 numeric
@attribute MFCC_34 numeric
@attribute MFCC_35 numeric
@attribute MFCC_36 numeric
@attribute MFCC_37 numeric
@attribute MFCC_38 numeric
@attribute MFCC_39 numeric
@attribute MFCC_40 numeric
@attribute MFCC_41 numeric
@attribute MFCC_42 numeric
@attribute MFCC_43 numeric
@attribute MFCC_44 numeric
@attribute MFCC_45 numeric
@attribute MFCC_46 numeric
@attribute MFCC_47 numeric
@attribute MFCC_48 numeric
@attribute MFCC_49 numeric
@attribute MFCC_50 numeric
@attribute MFCC_51 numeric
@attribute MFCC_52 numeric
@attribute MFCC_53 numeric
@attribute MFCC_54 numeric
@attribute MFCC_55 numeric
@attribute MFCC_56 numeric
@attribute MFCC_57 numeric
@attribute MFCC_58 numeric
@attribute MFCC_59 numeric
@attribute MFCC_60 numeric
@attribute MFCC_61 numeric
@attribute MFCC_62 numeric
@attribute MFCC_63 numeric
@attribute MFCC_64 numeric
@attribute MFCC_65 numeric
@attribute MFCC_66 numeric
@attribute MFCC_67 numeric
@attribute MFCC_68 numeric
@attribute MFCC_69 numeric
@attribute MFCC_70 numeric
@attribute MFCC_71 numeric
@attribute MFCC_72 numeric
@attribute MFCC_73 numeric
@attribute MFCC_74 numeric
@attribute MFCC_75 numeric
@attribute MFCC_76 numeric
@attribute MFCC_77 numeric
@attribute @@class@@ {bottomcenter,swipedown,swipeup}

@data
2486.417662,16.331541,86.100756,-56.550968,97.771394,-117.868636,70.034684,-62.261147,63.511869,-101.836338,74.382767,-88.190347,63.485353,-82.1876,82.665557,-68.971631,74.404882,-60.367805,63.339655,-54.76118,45.962657,-35.763272,36.188976,-28.33289,17.313936,-6.265138,-521.982016,65.585317,61.48882,57.479729,208.741347,-138.231736,111.319624,-19.324259,99.99342,-119.126206,94.217754,-82.777432,72.338261,-95.055582,105.670155,-80.995715,75.537182,-68.257838,81.220665,-63.134804,53.185416,-35.917909,40.933884,-27.811953,21.593788,-5.734589,3008.399677,-49.253776,24.611936,-114.030697,-110.969953,20.363099,-41.28494,-42.936888,-36.481551,17.289869,-19.834987,-5.412916,-8.852908,12.867983,-23.004598,12.024084,-1.1323,7.890034,-17.881011,8.373624,-7.222759,0.154637,-4.744908,-0.520937,-4.279852,-0.530548,bottomcenter
2490.841127,-53.796259,63.721017,-27.780141,97.638429,-89.841714,61.262178,-45.561502,54.621184,-75.365286,59.753629,-70.750785,54.101673,-68.625577,63.560617,-52.776798,59.055565,-48.55356,56.585636,-45.660265,42.196163,-28.179809,32.471187,-25.157164,13.41285,-4.403063,-770.408247,36.838037,64.004685,51.49407,189.908145,-113.902879,114.687923,-8.501701,98.914061,-107.962435,87.054815,-88.413882,57.940751,-96.51249,93.191653,-73.93877,72.768878,-64.135855,65.570084,-54.88948,53.606535,-32.762669,39.912576,-28.54488,16.688318,-2.460022,3261.249374,-90.634296,-0.283668,-79.274211,-92.269716,24.061166,-53.425745,-37.059801,-44.292877,32.597149,-27.301187,17.663097,-3.839078,27.886913,-29.631036,21.161971,-13.713312,15.582295,-8.984447,9.229215,-11.410372,4.58286,-7.441389,3.387716,-3.275468,-1.943041,bottomcenter
3067.005678,-203.578914,40.909259,-60.040075,46.041066,-90.715463,28.9602,-41.325587,30.921115,-79.51491,44.591733,-53.587591,43.60501,-50.323029,58.644316,-47.209979,55.658094,-39.310807,46.082488,-41.689813,38.448744,-27.101944,26.225093,-21.292162,11.963264,-7.31007,-893.164635,83.368435,158.561753,58.108195,218.15294,-91.712057,126.229418,-10.550255,91.196974,-108.555857,106.716134,-81.127841,71.607717,-92.007053,93.579706,-80.962094,79.252509,-64.332476,71.343499,-58.023229,48.914394,-36.38981,38.08994,-27.169007,19.069384,-4.127152,3960.170312,-286.947348,-117.652495,-118.14827,-172.111874,0.996594,-97.269217,-30.775332,-60.275859,29.040947,-62.124402,27.540249,-28.002706,41.684024,-34.935389,33.752115,-23.594414,25.021669,-25.261011,16.333415,-10.46565,9.287865,-11.864846,5.876845,-7.10612,-3.182918,bottomcenter
3572.062014,-189.471102,59.24987,-59.823496,69.927099,-88.942982,39.617777,-49.328539,47.486759,-83.778472,53.526548,-78.514387,52.677082,-67.727758,58.614704,-67.630664,56.432199,-53.911776,52.593597,-52.261475,44.737685,-36.99096,29.754774,-22.043217,15.542359,-7.173466,-605.807841,150.809209,179.612039,50.28822,193.38884,-101.629848,148.200666,-81.880266,95.052453,-116.471464,116.187424,-114.709593,93.284686,-109.054317,107.013321,-95.651317,102.328107,-74.739327,89.139331,-68.345988,66.262172,-47.849646,43.086728,-31.049241,26.270088,-9.577868,4177.869855,-340.280311,-120.36217,-110.111716,-123.461741,12.686865,-108.582889,32.551726,-47.565695,32.692992,-62.660876,36.195207,-40.607604,41.326559,-48.398617,28.020653,-45.895908,20.827551,-36.545734,16.084513,-21.524486,10.858687,-13.331954,9.006024,-10.727729,2.404402,bottomcenter
2909.337524,-179.794501,24.422669,-59.710485,55.683345,-109.633616,39.257522,-39.450753,36.07444,-75.225276,53.511094,-63.657096,47.211148,-57.232416,57.64473,-55.514573,54.512609,-43.650204,47.112844,-44.765062,40.123417,-33.31982,22.54711,-25.465859,11.698984,-7.215059,-555.894599,77.63517,114.255532,59.430032,232.949624,-110.978875,110.454995,-13.229381,98.846782,-133.018225,100.326502,-82.544375,63.871166,-107.971955,100.334944,-81.561942,83.08213,-63.752704,84.885009,-55.734031,52.560581,-40.534269,40.585456,-29.757834,15.32777,0.573908,3465.232124,-257.429671,-89.832862,-119.140517,-177.266279,1.345259,-71.197472,-26.221371,-62.772342,57.792949,-46.815408,18.887279,-16.660018,50.739539,-42.690213,26.047369,-28.569522,20.1025,-37.772165,10.968969,-12.437164,7.214448,-18.038346,4.291975,-3.628787,-7.788967,bottomcenter
2889.137371,-107.757398,69.357738,-52.624611,71.471515,-103.264377,51.272997,-56.636197,47.892702,-86.895003,58.865572,-79.972679,41.189532,-64.761747,65.23037,-61.874317,55.710185,-47.371209,53.382336,-45.587856,42.319959,-32.111146,28.278537,-27.361412,12.527814,-7.269613,-553.874772,24.392389,187.288526,32.993082,175.787863,-82.530837,126.755397,-34.143804,106.569229,-98.750619,104.031752,-87.72781,74.187382,-89.701218,96.548146,-73.888076,91.056953,-60.625297,72.235391,-55.142917,53.330952,-38.676308,40.375524,-29.454182,20.386215,-6.553484,3443.012143,-132.149787,-117.930787,-85.617693,-104.316349,-20.73354,-75.4824,-22.492393,-58.676526,11.855616,-45.16618,7.755131,-32.99785,24.939472,-31.317776,12.013759,-35.346768,13.254088,-18.853055,9.55506,-11.010992,6.565162,-12.096987,2.09277,-7.858401,-0.716129,bottomcenter
2536.415403,-55.451952,44.209257,-28.672846,89.277302,-126.779442,52.396155,-43.645472,56.076765,-103.397105,70.192506,-76.765722,51.757289,-79.553491,73.399183,-64.942149,59.714367,-58.476011,55.539213,-50.098946,47.236402,-29.902804,34.483142,-26.941677,16.546255,-6.862862,-472.827564,-14.860526,106.749597,36.887048,179.921188,-86.777536,101.065548,-15.454491,91.530275,-113.977028,81.800187,-75.246752,58.002449,-95.028448,94.257601,-73.768346,76.40786,-60.029501,80.208213,-56.560978,54.737687,-28.69405,35.504765,-29.704382,18.652468,-1.18282,3009.242968,-40.591426,-62.54034,-65.559893,-90.643885,-40.001906,-48.669393,-28.190981,-35.45351,10.579922,-11.607681,-1.51897,-6.24516,15.474957,-20.858419,8.826196,-16.693493,1.55349,-24.669,6.462032,-7.501285,-1.208754,-1.021623,2.762705,-2.106213,-5.680042,bottomcenter
3377.862504,29.514781,101.644359,-68.598498,108.839882,-137.600796,92.732447,-86.913886,63.705652,-121.293975,90.609956,-105.923262,86.447306,-92.526483,98.18937,-84.29102,85.62156,-76.328817,78.206362,-66.935208,60.967577,-49.593947,44.338254,-29.850193,20.304375,-11.045459,470.08308,-31.671792,135.664464,24.468982,160.626621,-112.604578,134.140581,-53.940552,90.332418,-119.726299,100.665658,-114.699665,78.312497,-103.03965,107.141395,-88.991057,94.923061,-79.289972,81.647226,-68.330344,61.473493,-45.894103,42.286062,-32.938053,21.27687,-9.553105,2907.779424,61.186573,-34.020105,-93.06748,-51.786739,-24.996218,-41.408133,-32.973334,-26.626765,-1.567676,-10.055702,8.776403,8.134809,10.513167,-8.952025,4.700038,-9.301502,2.961155,-3.440864,1.395136,-0.505916,-3.699844,2.052191,3.08786,-0.972494,-1.492354,bottomcenter
2099.333035,153.017651,-26.094057,44.718079,166.207994,-199.259729,75.78872,-41.381206,89.749291,-174.170871,136.623124,-109.934458,88.064968,-129.689403,134.337639,-97.707546,76.868762,-78.440709,88.479197,-79.040035,52.673408,-45.911508,49.328599,-42.580141,27.324706,-3.822204,-611.732405,91.306612,122.199846,58.461163,223.245675,-122.036427,138.4931,-32.050695,99.834133,-113.993925,114.294513,-94.617696,73.394976,-114.961998,99.998009,-88.656725,86.392849,-70.884414,85.883572,-65.220257,54.062387,-43.475852,43.791226,-29.895244,20.905528,-8.358175,2711.065439,61.711039,-148.293903,-13.743084,-57.037681,-77.223302,-62.70438,-9.33051,-10.084842,-60.176945,22.328611,-15.316762,14.669992,-14.727404,34.339629,-9.050821,-9.524087,-7.556294,2.595625,-13.819778,-1.388979,-2.435656,5.537373,-12.684897,6.419178,4.535971,bottomcenter
2638.588599,-152.494164,-0.638583,-31.695696,72.018813,-117.383418,32.774218,-30.218733,52.465182,-93.05176,67.347555,-54.856234,41.941475,-64.604588,75.066785,-62.380883,56.71894,-51.466397,55.418348,-45.657405,35.611739,-29.110868,25.955773,-25.18036,16.333859,-4.261312,-821.861694,36.132452,51.391695,91.743103,229.00558,-121.136063,111.196694,-1.561333,103.532969,-129.323208,95.823533,-75.118806,61.103529,-108.086224,112.965535,-68.238151,76.918933,-61.713465,76.980395,-66.965083,48.567008,-35.28608,39.956062,-32.560753,17.808327,-3.494727,3460.450294,-188.626615,-52.030278,-123.438799,-156.986767,3.752645,-78.422476,-28.657399,-51.067787,36.271448,-28.475978,20.262572,-19.162054,43.481636,-37.89875,5.857268,-20.199993,10.247068,-21.562048,21.307679,-12.955269,6.175213,-14.000289,7.380394,-1.474469,-0.766585,bottomcenter
